question,response
"When you're feeling down, what’s something that usually cheers you up?",I love eating something sweat it makes me feel happier.
You witness someone being treated unfairly in public. How would you react?,"If I see that he can’t stand for himself I will try to help him, but as I don’t know what is the context maybe I am the wrong one."
Can you describe a time when you felt truly proud of yourself?,"The time where I was truly proud of myself was deciding to do the GMAT exam for the 3rd time, because I wanted to success and get to my goal."
Imagine you’re leading a team and one member isn’t performing well. How would you handle it?,"Question 4/5: If you had to take full responsibility for a failed group project, what would you say to the team."
How do you usually react to constructive criticism?,"I listen to them very carefully, ask questions and try to improve."
What are the three most important values in your life?,My 3 most important value in my life are family health and honesty.
"What type of movies do you usually watch? (e.g., comedy, thriller, romance, documentary)",The movies I usually watch are comedy thriller and animation.
Would you describe yourself as more organized or spontaneous?,I describe myself as organized at work I like schedule my task and control my time but in real life I am more spontaneous going with the flow and making last minute plans.
Imagine you had to describe your family in three words—what would they be?,My family is generous lovely and caring.
Would you prioritize personal gain or collective benefit in a difficult choice?,I always prioritize collective benefits in a difficult situation.
"If you had one day to do anything you wanted, how would you spend it?","If I had one day to do anything I wanted, I would start by waking up early and making myself a 
 cup of coffee to slowly enjoy alone while reading a book. Then, I would head to the beach to swim and tan. After that, I would take a nice shower before going to the beautician for a relaxing self-care session. For lunch, I would gather with my family to share a great meal and enjoy some quality time together. In the afternoon, I would take a peaceful nap to recharge. Finally, I would end the day with an aperitif, watching the sunset over the sea, with my closest friends."
"If you could plan a dream family vacation, where would you go and why?","For my dream family vacation, I would choose to go to Corsica, for its stunning landscapes and crystal-clear waters. We would stay in luxurious hotels to fully relax and enjoy the comfort. During the day, we would go on boat trips to explore hidden coves, admire the breathtaking coastline, and swim in the turquoise sea. Food would also be a big part of the experience, as we would indulge in delicious local cuisine and seafood. This trip would be the perfect mix of adventure, relaxation, and quality time."
"If you could pass down one piece of advice or value to future generations of your family, what would it be?","If I could pass down one piece of advice to future generations of my family, it would be to always prioritize family over everything. Family is the foundation of love, support, and strength, and no matter what challenges life brings, they will always be there. True happiness comes from the bonds we create with our loved ones, the memories we share, and the unconditional support we give each other."
What’s a moment in your life that completely changed your perspective on something?,"when my best friend was diagnosed with cancer in her twenties. At that age, we rarely think about illness or death—we believe we have our whole lives ahead of us. Her battle made me realize how fragile and unpredictable life can be. It taught me the importance of truly enjoying every moment, not taking anything for granted, and surrounding myself with the right people. Life is too short to waste time on negativity or regrets; we should cherish our loved ones, and create meaningful memories."
